image_url,price_text,image_title
https://pf-online-inventory-images.s3.us-west-1.amazonaws.com/online/hvja5isb/68d966b4060543b8b674b6f210c0dd8e.jpg,$486,Tommy Bahama Ocean Breeze Brantley white solid wood 2 drawer oversized bachelors chest
https://pf-online-inventory-images.s3.us-west-1.amazonaws.com/online/g1tu1rnt/e30df6f516b14259ade38909c2750977.jpg,$127,Vintage Ethan Allen maple twin bedstead w/ pull out bed - Free used mattresses included
https://pf-online-inventory-images.s3.us-west-1.amazonaws.com/online/zhnsdpg5/8b121fadfe6542508506431a7afdff78.jpg,$488,Bernhardt Goodman rustic grey and white 6 drawer dresser. 1st Floor Only!
https://pf-online-inventory-images.s3.us-west-1.amazonaws.com/online/cuy2p5ya/38f8b70ea7ce47af9597c9eb4f792d4a.jpg,$257,Bernhardt pecan finish bow front 3 drawer nightstand w/ marble top
https://pf-online-inventory-images.s3.us-west-1.amazonaws.com/online/h5ra42ts/5d2e398c99c64d69adba898005ab994c.jpg,$211,Bernhardt Goodman rustic grey and white 1 drawer nightstand
https://pf-online-inventory-images.s3.us-west-1.amazonaws.com/online/lkvuniit/80f007ffdc79402ebe7a50db9bb55e16.jpg,$302,Layla Grace mint green wood 4 drawer chest with geometric designs
https://pf-online-inventory-images.s3.us-west-1.amazonaws.com/online/5cztnk0f/bb77cd097f374039ae2a15f3ca8ff39e.jpg,$895,"Bernhardt Blanca 4 drawer dresser, glass and Chrome, heavy, first floor only"
https://pf-online-inventory-images.s3.us-west-1.amazonaws.com/online/ayegncok/8ee2ca043248420eaed0c15fd0a2c1a6.jpg,$147,"Antique mahogany 1 drawer, 2 door wash stand "
https://pf-online-inventory-images.s3.us-west-1.amazonaws.com/online/gyysqmhh/a84521fba8c84e80b9821c9db0291a2c.jpg,$295,Lavelle California King curved ornate ivory wood and tufted velvet wingback headboard
https://pf-online-inventory-images.s3.us-west-1.amazonaws.com/online/4whujrnq/f2bbc3e8a0b049b0ab5d274d9287d411.jpg,$297,Woodbridge Furniture Ramsey tan solid oak 1 drawer nightstand w/ 2 open shelves
https://pf-online-inventory-images.s3.us-west-1.amazonaws.com/online/q3lmrxa2/0004195a27bf4bae95d759d435f110e4.jpg,$58,Vintage Ethan Allen maple 1 drawer nightstand with open storage 
https://pf-online-inventory-images.s3.us-west-1.amazonaws.com/online/w3oie0zy/db3713ba2d5247be99cf37653378bf76.jpg,$272,Bernhardt Sawyer light grey fabric king size panel bedstead
https://pf-online-inventory-images.s3.us-west-1.amazonaws.com/online/hzxiskrk/7a148073deee4ac0939c7f3786510579.jpg,$96,Ashley Furniture Brinxton charcoal pine veneer king size headboard 
https://pf-online-inventory-images.s3.us-west-1.amazonaws.com/online/ff0nsdvj/2c610b9535054d4d9fb6fb2642b91213.jpg,$107,Chenell white finish wood king size headboard 
https://pf-online-inventory-images.s3.us-west-1.amazonaws.com/online/zwh3yvt2/93c06769206a41c9a59ac3ce2ac7d167.jpg,$107,Angalee king size rattan headboard 
https://pf-online-inventory-images.s3.us-west-1.amazonaws.com/online/1z1zcour/8bb3b89a896f48a3a6ada8caa851aa73.jpg,$217,Hooker Furniture Archivist pecan finish wood 3 drawer nightstand
https://pf-online-inventory-images.s3.us-west-1.amazonaws.com/online/lbr3dtms/f6dcad86ac0441dfaa325f6af0355677.jpg,$175,ART Furniture Stockyard king size oak finish wood panel headboard 
